********** NEW NOZZLE GEOMETRY **********
label: iMD2M
R throat: 0.00027993
mass flow:      1.0000 kg/s
inlet velocity: 25.00 m/s
geometry: rectangular
x norm         R norm
0.00000000     2.93576333
0.01202405     2.93567201
0.02404810     2.93557836
0.03607214     2.93548233
0.04809619     2.93538386
0.06012024     2.93528288
0.07214429     2.93517933
0.08416834     2.93507314
0.09619238     2.93496426
0.10821643     2.93485261
0.12024048     2.93473811
0.13226453     2.93462071
0.14428858     2.93450032
0.15631263     2.93437687
0.16833667     2.93425029
0.18036072     2.93412049
0.19238477     2.93398738
0.20440882     2.93385090
0.21643287     2.93371095
0.22845691     2.93356745
0.24048096     2.93342030
0.25250501     2.93326941
0.26452906     2.93311470
0.27655311     2.93295605
0.28857715     2.93279339
0.30060120     2.93262659
0.31262525     2.93245556
0.32464930     2.93228019
0.33667335     2.93210038
0.34869739     2.93191601
0.36072144     2.93172696
0.37274549     2.93153312
0.38476954     2.93133437
0.39679359     2.93113058
0.40881764     2.93092163
0.42084168     2.93070739
0.43286573     2.93048773
0.44488978     2.93026251
0.45691383     2.93003158
0.46893788     2.92979481
0.48096192     2.92955206
0.49298597     2.92930316
0.50501002     2.92904798
0.51703407     2.92878634
0.52905812     2.92851809
0.54108216     2.92824307
0.55310621     2.92796110
0.56513026     2.92767201
0.57715431     2.92737562
0.58917836     2.92707176
0.60120240     2.92676023
0.61322645     2.92644085
0.62525050     2.92611342
0.63727455     2.92577774
0.64929860     2.92543360
0.66132265     2.92508080
0.67334669     2.92471912
0.68537074     2.92434834
0.69739479     2.92396824
0.70941884     2.92357857
0.72144289     2.92317912
0.73346693     2.92276963
0.74549098     2.92234987
0.75751503     2.92191956
0.76953908     2.92147847
0.78156313     2.92102631
0.79358717     2.92056282
0.80561122     2.92008772
0.81763527     2.91960073
0.82965932     2.91910155
0.84168337     2.91858989
0.85370741     2.91806544
0.86573146     2.91752788
0.87775551     2.91697690
0.88977956     2.91641218
0.90180361     2.91583337
0.91382766     2.91524013
0.92585170     2.91463212
0.93787575     2.91400898
0.94989980     2.91337034
0.96192385     2.91271582
0.97394790     2.91204504
0.98597194     2.91135761
0.99799599     2.91065313
1.01002004     2.90993119
1.02204409     2.90919137
1.03406814     2.90843324
1.04609218     2.90765637
1.05811623     2.90686031
1.07014028     2.90604459
1.08216433     2.90520876
1.09418838     2.90435233
1.10621242     2.90347482
1.11823647     2.90257573
1.13026052     2.90165455
1.14228457     2.90071075
1.15430862     2.89974381
1.16633267     2.89875319
